Кампания;Группа объявлений;Ключевая фраза;Тип соответствия;Регион;Реком. ставка CPC, ₽;Посадочная
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг спб""";фразовое;Санкт-Петербург;135;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг санкт петербург""";фразовое;Санкт-Петербург;175;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг автомобиля в спб""";фразовое;Санкт-Петербург;136;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг центр""";фразовое;Санкт-Петербург;105;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг авто""";фразовое;Санкт-Петербург;168;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг студия""";фразовое;Санкт-Петербург;203;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг салона""";фразовое;Санкт-Петербург;55;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг центр спб""";фразовое;Санкт-Петербург;92;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг авто спб""";фразовое;Санкт-Петербург;86;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг цена""";фразовое;Санкт-Петербург;83;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг спб цены""";фразовое;Санкт-Петербург;55;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""выездной детейлинг спб""";фразовое;Санкт-Петербург;80;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг стоимость""";фразовое;Санкт-Петербург;175;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг студия спб""";фразовое;Санкт-Петербург;122;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг салона спб""";фразовое;Санкт-Петербург;65;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""сколько стоит детейлинг""";фразовое;Санкт-Петербург;80;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг автомобиля цена""";фразовое;Санкт-Петербург;58;index.html
Космос Детейлинг — Поиск СПб;Детейлинг общий;"""детейлинг салона автомобиля спб""";фразовое;Санкт-Петербург;45;index.html
